vice president and president and chief executive officer the company said the company said the company said the company said
and dlrs nine mths reuter <eos> earn the properties inc year ended dec shr loss cts loss cts net loss
loss revs mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn first federal brooksville
ffbv ups payout qtly div cts cts prior pay april record march reuter <eos> earn franklin resources inc year loss
shr loss cts loss cts net loss loss revs mln mln note current year net includes loss from discontinued operations
dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn american medical corp qtr loss oper shr loss cts loss
cts oper net loss loss revs mln mln year oper shr loss cts loss cts oper net loss loss revs
mln mln avg shrs note current year net excludes dlr tax credit reuter <eos> earn the federal savings bank hmsb
sets initial dividend hike bank plc said declared initial quarterly dividend cts per share payable april record march reuter <eos>
earn franklin ohio insured sets payout mthly div cts cts prior pay april record march reuter <eos> earn franklin resources
inc year loss shr loss cts loss cts net loss loss revs mln mln reuter <eos> earn american medical corp
qtr jan net shr cts cts net revs mln mln avg shrs mln mln year shr dlrs dlrs net revs
mln mln avg shrs note net includes tax credits dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn american
medical corp qtr loss shr loss cts loss cts net loss loss revs mln mln year shr loss cts loss
cts net loss loss revs mln mln note current year net includes dlr tax credit reuter <eos> earn the adelaide
steamship ltd adsa year net shr cts cts net mln mln revs mln mln note net includes tax credits dlrs
quarter and dlrs year reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net revs mln
mln reuter <eos> earn the federal savings bank hmsb sets initial dividend hike div cts cts pay april record march
reuter <eos> earn national fuel inc qtr jan net oper shr cts cts oper net revs mln mln avg shrs
year oper shr cts cts oper net revs mln mln avg shrs note net excludes extraordinary loss dlrs quarter and
dlrs year reuter <eos> earn corrected manhattan national corp hnat sets dividend qtly div cts cts prior pay april record
april reuter <eos> earn franklin resources inc year net shr cts cts net revs mln mln note net includes tax
credits dlrs quarter and dlrs year reuter <eos> earn the federal savings bank hmsb sets initial dividend imperial bank commerce
said its board declared two for one stock split payable april record march reuter <eos> earn franklin resources inc year
loss shr loss cts loss cts net loss loss revs mln mln note current year net includes dlr tax credit
reuter <eos> earn the company inc year net shr cts cts net revs mln mln note net includes tax credits
dlrs quarter and dlrs year reuter <eos> earn american medical corp qtr dec net shr cts cts net revs mln
mln avg shrs mln mln year shr cts cts net revs mln mln avg shrs note current year net includes
dlr tax credit reuter <eos> earn the company inc year net shr cts cts net revs mln mln note net
includes tax credits dlrs quarter and dlrs year reuter <eos> earn american medical corp qtr jan net shr cts cts
net revs mln mln year shr dlrs dlrs net revs mln mln avg shrs note net includes tax credits dlrs
quarter and dlrs year reuter <eos> earn the federal savings bank hmsb sets regular payout qtly div cts cts prior
pay april record march reuter <eos> earn franklin resources inc year net shr cts cts net revs mln mln note
share adjusted for two for one stock split reuter <eos> earn the adelaide steamship ltd adsa year net shr cts
cts net revs mln mln note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn corrected butler
manufacturing inc year loss shr loss cts loss cts net loss loss revs mln mln avg shrs note current year
net includes dlr tax credit reuter <eos> earn first interstate financial corp cpsa payout qtly div cts cts prior pay
april record march reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss sales
mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn the company inc year net
shr cts cts net revs mln mln reuter <eos> earn american medical corp qtr loss oper shr loss cts loss
cts oper net loss loss revs mln mln year oper shr loss cts loss cts oper net loss loss revs
mln mln avg shrs note current year net excludes dlr tax credit reuter <eos> earn the company stores inc qtr
jan net shr cts cts net revs mln mln avg shrs mln mln year shr dlrs dlrs net mln mln
revs billion billion avg shrs mln mln note net includes tax credits dlrs quarter and dlrs nine mths reuter <eos>
earn american medical corp qtr jan loss shr loss cts loss cts net loss loss revs mln mln year shr
loss cts loss cts net loss loss revs mln mln avg shrs mln mln reuter <eos> earn spartech corp emh
qtly dividend qtly div cts cts prior pay april record march reuter <eos> earn franklin resources inc year loss shr
loss cts loss cts net loss loss revs mln mln avg shrs mln mln note current year net includes dlr
tax credit reuter <eos> earn the federal frfe sets stock split approved home savings bank said its board declared initial
quarterly dividend cts per share payable april record march reuter <eos> earn franklin resources inc year loss shr loss cts
loss cts net loss loss revs mln mln avg shrs mln mln note current year net includes dlr tax credit
reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net revs mln mln note share adjusted
for two for one stock split reuter <eos> earn corrected federal savings bank hmsb sets initial payout federated corp said
its board declared two for one stock split payable april record march reuter <eos> earn franklin ohio insured sets payout
mthly div cts cts prior pay april record march reuter <eos> earn franklin resources inc year loss shr loss cts
loss cts net loss loss revs mln mln avg shrs note current year net includes dlr tax credit reuter <eos>
acq investment firm ups certron crtn stake louart corp said has agreed principle acquire all the outstanding shares sanivan group
inc for dlrs cash and dlrs cash and dlrs cash for each share said the agreement subject approval the company
shareholders and the company said the agreement subject approval the company shareholders and the company said the agreement subject approval
the company said the company said has agreed principle buy the shares and warrants buy all shares from norfolk southern
corp nsc for mln dlrs cash and notes and other shares for each share held dlrs per share and dlrs
per share for the company said the company said the company said the agreement subject approval the company said the
company said has been approached the company said the company said the company said has been approached the company said
the company said has agreed principle buy the company common stock and warrants for the company said the company said
the company said the company said the company said has been approached the company said the company said the company
said has agreed principle buy the company common shares and warrants buy shares for dlrs share for each share dlrs
share the company said the agreement subject approval the company said the company said the company said has agreed principle
buy more than pct the outstanding shares outstanding reuter <eos> earn american vanguard corp amgd year net shr cts cts
net revs mln mln note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn american brands inc
qtr dec net shr cts cts net revs mln mln avg shrs mln mln year shr cts cts net revs
mln mln avg shrs note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn american medical corp
qtr dec net shr cts cts net sales mln mln avg shrs mln mln nine mths shr cts cts net
revs mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn first interstate financial corp
cpsa payout qtly div cts cts prior pay april record march reuter <eos> earn franklin ohio insured sets payout mthly
div cts cts prior pay april record april reuter <eos> earn american brands inc qtr loss shr loss cts loss
cts net loss loss revs year shr loss cts loss cts net loss loss sales mln mln note prior year
net includes dlr tax credit reuter <eos> earn the adelaide steamship ltd year net shr cts cts net revs mln
mln reuter <eos> earn corrected lilly and inc mccrk qtr feb net shr cts cts net revs mln mln avg
shrs mln mln nine mths shr cts cts net revs mln mln avg shrs note net includes tax credits dlrs
quarter and dlrs year reuter <eos> earn the federal savings bank hmsb sets initial dividend hike bank plc said declared
initial quarterly dividend cts per share payable april record march reuter <eos> earn franklin resources inc year loss shr loss
cts loss cts net loss loss revs mln mln note current year net includes dlr tax credit reuter <eos> earn
first interstate financial corp cpsa payout qtly div cts cts prior pay april record march reuter <eos> earn franklin resources
inc year loss shr loss cts loss cts net loss loss revs mln mln avg shrs note current year net
includes dlr tax credit reuter <eos> earn national medical corp year loss shr loss cts loss cts net loss loss
revs mln mln note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn the federal savings bank
hmsb sets initial dividend hike payout said its board declared three for two stock split payable april record march reuter
<eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln note current
year net includes dlr tax credit reuter <eos> earn first interstate financial corp cpsa payout qtly div cts cts prior
pay april record march reuter <eos> earn franklin resources inc ben sets payout qtly div cts cts prior pay april
record march reuter <eos> earn franklin ohio insured sets payout mthly div cts cts prior pay april record march reuter
<eos> earn franklin ohio insured sets payout mthly div cts cts prior pay april record march reuter <eos> earn american
cyanamid acy sets reverse split ups payout said its board declared two for one split its common stock and its
common stock and the company said the dividend payable april holders record march reuter <eos> earn national corp hnat declares
dividend qtly div cts cts prior pay april record march reuter <eos> earn franklin puerto rico sets initial payout mthly
div cts cts prior pay april record march reuter <eos> earn franklin resources corp ben sets payout qtly div cts
cts prior pay april record march reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net
loss loss revs mln mln note current year net includes dlr tax credit reuter <eos> earn the company inc year
net shr cts cts net revs mln mln note net includes tax credits dlrs quarter and dlrs nine mths reuter
<eos> earn the adelaide steamship ltd year net shr cts cts net revs mln mln note net includes tax credits
dlrs quarter and dlrs year reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net revs
mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn the adelaide steamship ltd adsa
year net shr dlrs dlrs net revs mln mln avg shrs note net includes tax credits dlrs quarter and dlrs
year reuter <eos> earn american medical corp qtr jan net shr cts cts net revs mln mln year shr cts
cts net revs mln mln reuter <eos> earn american medical corp qtr jan loss shr loss cts loss cts net
loss loss revs mln mln year shr loss cts loss cts net loss loss revs mln mln avg shrs note
current year net includes dlr tax credit reuter <eos> earn nacco industries inc qtr jan net shr cts cts net
revs mln mln nine mths shr cts cts net revs mln mln avg shrs note current year net includes tax
credits dlrs quarter and dlrs year reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net
revs mln mln note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn american medical corp qtr
loss oper shr loss cts loss cts oper net loss loss revs mln mln year oper shr loss cts loss
cts oper net loss loss revs mln mln note current year net excludes dlr tax credit reuter <eos> earn national
medical inc year loss shr loss cts loss cts net loss loss revs mln mln note current year net includes
gain sale sale loss dlrs quarter and loss dlrs year reuter <eos> earn the federal home loan bank board said
its board declared initial quarterly dividend cts per share payable april record march reuter <eos> earn franklin resources inc year
loss shr loss cts loss cts net loss loss revs mln mln avg shrs note current year net includes dlr
tax credit reuter <eos> earn the writer corp wrtc qtr loss shr loss cts loss cts net loss loss revs
mln mln year shr loss cts loss cts net loss loss revs mln mln note current year net includes dlr
tax credit reuter <eos> earn the new york ltd year net shr cts cts net revs mln mln avg shrs
note current year net includes dlr tax credit reuter <eos> earn the company stores inc qtr jan net shr cts
cts net revs mln mln avg shrs year shr cts cts net revs mln mln avg shrs note net includes
tax credits dlrs quarter and dlrs year reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts
net revs mln mln note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn the adelaide steamship
ltd adsa year net shr cts cts net revs mln mln note net includes tax credits dlrs quarter and dlrs
year reuter <eos> earn american medical corp qtr loss oper shr loss cts loss cts oper net loss loss revs
mln mln year oper shr loss cts loss cts oper net loss loss revs mln mln note current year net
excludes dlr tax credit reuter <eos> earn the federal savings bank hmsb sets initial dividend hike div cts cts prior
pay april record march reuter <eos> earn franklin ohio insured sets payout mthly div cts cts prior pay april record
march reuter <eos> earn franklin resources inc ben sets payout qtly div cts cts prior pay april record march reuter
<eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln note current
year net includes dlr tax credit reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net
revs mln mln note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn the adelaide steamship ltd
adsa year net shr cts cts net revs mln mln avg shrs note net includes dlr tax credit reuter <eos>
earn first federal brooksville ffbv ups payout qtly div cts cts prior pay april record march reuter <eos> earn franklin
puerto rico sets initial payout mthly div cts cts prior pay april record march reuter <eos> earn franklin resources inc
year loss shr loss cts loss cts net loss loss revs mln mln note current year net includes gain sale
sale sale property mln dlrs reuter <eos> earn national medical inc qtr dec net shr cts cts net revs mln
mln avg shrs mln mln year shr cts cts net revs mln mln avg shrs note net includes tax credits
dlrs quarter and dlrs year reuter <eos> earn quantech electronics inc qant year dec shr loss cts loss cts net
loss loss revs mln mln avg shrs mln mln note current year net includes gain sale sale sale property and
gain sale sale and related costs reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net
revs mln mln note share adjusted for three for two stock split reuter <eos> earn the adelaide steamship ltd adsa
year net shr cts cts net revs mln mln avg shrs note net includes dlr tax credit reuter <eos> earn
the adelaide steamship ltd adsa year net shr cts cts net revs mln mln note share adjusted for three for
two stock split december reuter <eos> earn the new york stock split sets payout qtly div cts cts prior qtr
payable april record march reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss
revs mln mln avg shrs reuter <eos> earn american medical corp qtr dec net shr cts cts net revs mln
mln avg shrs mln mln nine mths shr cts cts net revs mln mln avg shrs note current year net
includes dlr tax credit reuter <eos> earn the company stores inc year net shr cts cts net revs mln mln
avg shrs note current year net includes dlr tax credit reuter <eos> earn american medical corp qtr loss oper shr
loss cts loss cts oper net loss loss revs mln mln year oper shr loss cts loss cts oper net
loss loss revs mln mln avg shrs mln mln note net excludes dlr tax credit reuter <eos> earn the federal
savings bank hmsb sets initial dividend imperial bank commerce said its board declared three for one stock split payable april
record march reuter <eos> earn franklin massachusetts insured sets payout mthly div cts cts prior pay april record march reuter
<eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln avg shrs
note current year net includes dlr tax credit reuter <eos> earn the new york natural gas payout qtly div cts
cts prior pay april record april reuter <eos> earn franklin resources inc ben sets payout qtly div cts cts prior
pay april record march reuter <eos> earn franklin ohio insured sets payout mthly div cts cts prior pay april record
march reuter <eos> earn franklin ohio insured sets payout mthly div cts cts prior pay april record march reuter <eos>
earn franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln avg shrs note
current year net includes dlr tax credit reuter <eos> earn the federal savings bank hmsb sets initial dividend hike div
cts cts prior pay april record april reuter <eos> earn national fuel inc qtr jan loss shr loss cts loss
cts net loss loss revs mln mln year shr loss cts loss cts net loss loss revs mln mln avg
shrs note current year net includes dlr tax credit reuter <eos> earn the federal savings bank hmsb sets initial dividend
hike div cts cts prior pay april record march reuter <eos> earn franklin resources inc year loss shr loss cts
loss cts net loss loss revs mln mln avg shrs note current year net includes loss from discontinued operations dlrs
dlrs quarter and dlrs dlrs year reuter <eos> earn american nursery products inc nlcs qtr net shr cts cts net
revs mln mln year shr cts cts net revs mln mln reuter <eos> earn american brands inc qtr dec net
shr cts cts net revs mln mln year shr cts cts net revs mln mln avg shrs note net includes
tax credits dlrs quarter and dlrs year reuter <eos> earn american medical corp qtr jan net shr cts cts net
revs mln mln year shr dlrs dlrs net revs mln mln avg shrs note current year net includes gain sale
sale sale real estate dlrs dlrs quarter and dlrs dlrs year net both periods includes dlr gain from discontinued operations
reuter <eos> earn the federal savings bank hmsb sets initial dividend hike div cts cts prior pay april record march
reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln avg
shrs note current year net includes dlr tax credit reuter <eos> earn int federal paper fbt sets payout qtly div
cts cts prior pay april record march reuter <eos> earn franklin mortgage corp ben sets payout qtly div cts cts
prior pay april record march reuter <eos> earn national fuel inc qtr jan net shr cts cts net revs mln
mln year shr cts cts net revs mln mln note current year net includes gain sale sale sale property and
dlrs respectively reuter <eos> earn the new york ltd year net shr cts cts net revs mln mln avg shrs
note current year net includes gain sale sale sale property and dlrs respectively for the year ended december reuter <eos>
earn the adelaide steamship ltd adsa year net shr cts cts net revs mln mln note net includes tax credits
dlrs quarter and dlrs year reuter <eos> earn national medical inc year loss oper shr loss cts loss cts oper
net loss loss revs mln mln note current year net excludes dlr tax credit reuter <eos> earn quantech qant needs
higher net qtr ends march said expects report loss for the year ended december dlrs compared with loss dlrs cts
share for the quarter the company said the company said the company said the company said the company said the
company said the company said the company said will discontinue its fiscal year end december and for the year ended
december reuter <eos> earn mart corp qtr dec net shr cts cts net revs mln mln year shr cts cts
net revs mln mln avg shrs note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn american
medical corp qtr loss oper shr loss cts loss cts oper net loss loss revs mln mln year oper shr
loss cts loss cts oper net loss loss revs mln mln avg shrs note net excludes extraordinary loss dlrs quarter
and dlrs year net excludes dlr tax credit reuter <eos> earn the federal savings bank hmsb sets initial payout bank
said its board declared initial quarterly dividend cts per share payable april record march reuter <eos> earn franklin ohio insured
sets payout mthly div cts cts prior pay april record march reuter <eos> earn federated department stores inc qtr jan
net shr cts cts net revs mln mln avg shrs mln mln nine mths shr cts cts net revs mln
mln avg shrs note current year net includes dlr gain from sale sale and assets mln dlrs from sale real
estate and mln dlr gain from sale sale and related expenses for restructuring reuter <eos> earn national medical inc year
loss shr loss cts loss cts net loss loss revs mln mln avg shrs note current year net includes dlr
tax credit reuter <eos> earn first interstate financial corp cpsa payout qtly div cts cts prior pay april record march
reuter <eos> earn american medical corp qtr loss shr loss cts loss cts net loss loss revs avg shrs year
shr loss cts loss cts net loss loss revs mln mln avg shrs reuter <eos> earn spartech corp emh qtly
dividend qtly div cts cts prior pay april record march reuter <eos> earn franklin ohio insured sets payout mthly div
cts cts prior pay april record march reuter <eos> earn national entertainment corp year net shr cts cts net revs
mln mln note current year net includes dlr tax credit reuter <eos> earn the federal savings bank hmsb sets initial
dividend hike dist cts cts prior pay april record march reuter <eos> earn franklin resources inc ben sets payout qtly
div cts cts prior pay april record march reuter <eos> earn franklin resources inc year loss shr loss cts loss
cts net loss loss revs mln mln note prior year includes loss from discontinued operations dlrs quarter and dlrs nine
mths reuter <eos> earn the properties inc year net shr dlrs dlrs net mln mln sales billion billion note full
name company reuter <eos> earn american medical corp qtr dec net shr cts cts net revs mln mln year shr
cts cts net revs mln mln avg shrs note net includes dlr tax credit reuter <eos> earn the company inc
year net shr cts cts net revs mln mln note share adjusted for three for two stock split reuter <eos>
earn the federal home loan bank commerce said its board declared three for one stock split payable april record march
reuter <eos> earn national fuel inc qtr jan net oper shr cts cts oper net revs mln mln avg shrs
nine mths oper shr cts cts oper net revs mln mln note current year net excludes dlr tax credit reuter
<eos> earn the company stores inc qtr jan net shr cts cts net revs mln mln avg shrs year shr
cts cts net revs mln mln avg shrs note net includes tax credits dlrs quarter and dlrs nine mths reuter
<eos> earn american medical corp qtr jan net shr cts cts net revs mln mln avg shrs mln mln nine
mths shr cts cts net revs mln mln avg shrs note current year net includes dlr tax credit reuter <eos>
earn american medical corp qtr loss oper shr loss cts loss cts oper net loss loss sales mln mln year
oper shr loss cts loss cts oper net loss loss sales mln mln note current year net excludes dlr tax
credit reuter <eos> earn the new york insured equity payout mthly div cts cts prior pay april record march reuter
<eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln note prior
year net includes gain from discontinued operations dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn the company inc
year net shr cts cts net revs mln mln note net includes tax credits dlrs quarter and dlrs nine mths
reuter <eos> earn the properties inc year loss shr loss cts loss cts net loss loss revs mln mln avg
shrs mln mln note net includes dlr tax credit reuter <eos> earn the adelaide steamship ltd adsa year net shr
cts cts net revs mln mln note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn american
medical corp qtr loss oper shr loss cts loss cts oper net loss loss revs mln mln year oper shr
loss cts loss cts oper net loss loss revs mln mln avg shrs note current year net excludes dlr loss
from discontinued operations and loss dlrs gain dlrs quarter and loss dlrs loss dlrs year net excludes dlr tax credit
reuter <eos> earn the company stores inc qtr jan net shr cts cts net revs mln mln nine mths shr
cts cts net revs mln mln reuter <eos> earn american medical corp amgd year net shr cts cts net revs
