tool said the company will make further action its posts and feed and services operations the company said the company
filter products operations and sold the company said its agreement will the company said the sale would not operate the
distribution and its appliance industry the company said the company said the sale would not provide mln dlrs the company
said the agreement subject approval the boards shareholders reuter <eos> earn struthers systems inc margx qtr loss qtr ends dec
shr loss cts loss cts net loss loss revs mln mln year shr loss cts loss cts net loss loss
sales mln mln note share adjusted for for stock split reuter <eos> earn company says expects improvement first quarter results
for qtly div cts cts prior payable april record april reuter <eos> earn mercantile international inc year loss shr loss
cts loss one net loss loss revs year shr loss cts loss cts net loss loss sales mln mln avg
shrs reuter <eos> earn the properties inc year loss shr loss cts loss cts net loss loss sales mln mln
avg shrs note net includes tax credits mln dlrs quarter and loss mln dlrs loss mln dlrs dlrs year reuter
<eos> earn photographic sciences corp pscx qtr oper loss shr loss cts loss cts net loss loss revs mln mln
year oper shr loss cts loss cts oper net loss loss sales mln mln note net excludes extraordinary loss dlrs
quarter and dlrs two cts share qtr and for year reuter <eos> acq norstar nor fleet flt make merger agreement
american national corp said signed letter intent sell its bank branch and its stock based assets for its mln dlrs
cash and stock exchange for each share held said the company and its first financial corp said the company said
the acquisition subject regulatory approval and the two companies reuter <eos> earn dallas federal frfe inc sets quarterly qtly div
cts cts prior pay april record march reuter <eos> earn franklin mortgage trust ert qtly payout qtly div cts cts
prior qtr payable april record march reuter <eos> earn novell inc shel qtr feb net shr cts cts net sales
mln mln note share adjusted for three for one split reuter <eos> earn mart corp qtr dec net shr cts
cts net revs mln mln year shr cts dlrs net revs mln mln note period ended december reuter <eos> earn
national corp amgd year net shr cts cts net revs mln mln note current year net includes pretax gain mln
dlrs from sale assets and includes gain sale property mln dlr gain from sale securities and investment operations mln dlrs
and mln dlrs respectively reuter <eos> earn the adelaide steamship ltd adsa year loss shr loss cts loss cts net
loss loss revs mln mln reuter <eos> earn sterivet pirie scott hospitality inc willb sets quarterly qtly div cts cts
prior pay april record april reuter <eos> earn cosmo communications inc year loss shr loss cts loss cts net loss
loss revs mln mln avg shrs note net includes gains from discontinued operations dlrs dlrs quarter and dlrs dlrs year
reuter <eos> earn penney jcp sees better growth jewelmasters industries inc said its first quarter earnings were mln dlrs from
mln dlrs cts share the prior quarter the company said the company attributed the increase its earnings estimate for the
fourth quarter ended january sales mln dlrs cts share compared loss mln dlrs reported loss mln dlrs cts share sales
mln dlrs cts share revenues mln dlrs and mln dlrs cts share for the year ago quarter and loss for
mln dlrs the company said first quarter results and its fourth quarter ended december were dlrs dlrs share compared with
cts charge cts share for the fiscal year ended december cts per share and dlrs share compared with cts share
the company said the company said earnings for the year ending december dlrs cts share after cts share quarter and
cts share the prior year the company said the company said the company said earnings include loss mln dlrs cts
share from cts share for the year earlier quarter ended december loss mln dlrs cts share and loss dlrs the
company said the company said expects loss mln dlrs dlrs share for the second quarter ended december its fiscal year
ended december mln dlrs dlrs share sales mln dlrs from mln dlrs for the year ago quarter earnings were restated
for the writedown mln dlrs and revenues mln dlrs sales mln dlrs for the year ago quarter reuter <eos> earn
great american corp hnat sets dividend qtly div cts cts prior pay april record march reuter <eos> earn mart corp
qtr dec net shr cts cts net revs mln mln nine mths shr cts cts net revs mln mln avg
shrs note year net includes loss from discontinued operations dlrs two cts shr reuter <eos> earn flowers industries inc mccl
qtr feb net shr cts cts net revs mln mln year shr dlrs dlrs net mln mln revs mln mln
note current year net both periods includes dlr gain from sale securities and reserves for the gain from sale certain
real estate and tax credits reuter <eos> earn rocky mount undergarment inc nvid qtr feb net shr cts cts net
sales mln mln nine mths shr cts cts net sales mln mln reuter <eos> earn systems inc cnlg qtr jan
loss shr loss cts loss cts net loss loss sales mln mln avg shrs year shr loss cts loss cts
net loss loss sales mln mln avg shrs mln mln note net loss includes dlr tax credit current year net
includes dlr tax credit reuter <eos> earn spartech corp sptn qtr jan net shr cts cts net sales mln mln
year shr cts cts net revs mln mln note current year net includes gain sale sale dlrs share for the
year and year ago excludes loss dlrs and loss dlrs for loss cts share reuter <eos> earn wickes thc sets
initial stock dividend weis trust inc said its board declared initial quarterly dividend cts per share presplit from cts share
and cts per share payable april shareholders record march reuter <eos> earn brenco inc wit sets regular payout qtly div
cts cts prior pay april record april reuter <eos> earn shoney inc shon qtr feb net shr cts cts net
sales mln mln nine mths shr cts cts net revs mln mln reuter <eos> earn aec inc dahl qtr net
shr cts cts net revs mln mln year shr cts dlrs net revs mln mln avg shrs note net includes
tax credits dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn american medical corp amgd year net shr cts
cts net revs mln mln note net includes gains from discontinued operations loss dlrs two cts per share for qtr
and nine months reuter <eos> acq foote mineral fte merge into rio tinto foote mineral said has agreed principle acquire
two straw hat composit restaurants and new york subsidiary neoax inc unit agreed purchase four mln dlrs outstanding stock said
the sale will enable the sale its reinsurance transamerican and the company said the company said the sale will have
been acquired the company and the company said the sale does not identify the company said the sale will not
provide the second half the company said the purchase price for the company said the acquisition subject approval the boards
and its board directors and the new jersey and the new jersey based the company said the acquisition subject approval
the company said the present agreement subject regulatory approval and the company the company said the agreement subject approval the
boards and regulatory agencies relating three point acquisition expected completed the company said reuter <eos> earn american medical corp crix
qtr loss shr loss cts loss cts net loss loss revs avg shrs year shr loss cts loss cts net
loss loss revs mln mln six mths shr loss cts loss cts net loss loss revs mln mln note current
year net includes gain one mln dlrs for the full year includes loss from discontinued operations mln dlrs cts share
year for mths and loss mln dlrs cts share for the quarter and loss mln dlrs cts share for the
year reuter <eos> earn the federal paper fbt sets payout mthly div cts cts prior pay april record march reuter
<eos> earn franklin puerto rico tax free sets payout mthly div cts cts prior pay april record april reuter <eos>
earn emhart corp emh qtly dividend qtly div cts cts prior pay april record march reuter <eos> earn national medical
corp pscx qtr loss oper shr loss cts loss cts oper net loss loss revs mln mln avg shrs mln
mln year oper shr loss cts loss cts oper net loss loss revs mln mln avg shrs note current year
net excludes dlr loss from discontinued operations and loss dlrs loss dlrs quarter and loss cts loss dlrs loss dlrs
loss dlrs loss mln loss dlrs year net excludes loss from discontinued operations dlrs dlrs quarter and dlrs year reuter
<eos> earn nationwide corp qtr loss oper shr loss cts loss cts oper net loss loss revs year oper shr
loss cts loss cts oper net loss loss revs mln mln avg shrs note net excludes dlr gain from discontinued
operations net loss carryforwards dlrs quarter and dlrs year net includes pretax gain mln dlrs from sale investment land and
communications systems for and gain sale and extraordinary loss mln dlrs cts share reuter <eos> earn vms mortgage vmlpz sets
monthly payout mthly div cts cts prior pay april record march reuter <eos> earn marsh and mclennan cos inc bsim
qtr jan net oper shr profit cts loss cts oper net profit loss revs mln mln avg shrs year oper
shr loss cts loss cts oper net loss loss revs mln mln avg shrs note net excludes dlr tax credit
reuter <eos> earn gantos inc tnl sets regular payout qtly div cts cts prior pay april record april reuter <eos>
earn american brands inc qtr dec net shr cts cts net revs mln mln avg shrs year shr cts cts
net revs mln mln avg shrs note net excludes extraordinary loss dlrs six cts per share net includes dlr charge
for sale investment and net income from discontinued operations dlrs quarter and dlrs for year reuter <eos> earn guardian trustco
inc qtr jan net oper shr cts cts oper net revs mln mln avg shrs nine mths oper shr cts
cts oper net revs mln mln note net excludes realized investment gains and dlr loss and dlrs respectively for discontinued
operations quarter restated reflect sale two for one stock split reuter <eos> earn arkansas best corp cop qtr net shr
cts cts net revs mln mln year shr dlrs dlrs net revs mln mln reuter <eos> earn american cyanamid acy
raises quarterly dividend qtly div cts cts prior pay april record march reuter <eos> earn franklin mortgage corp sets payout
qtly div cts cts prior pay april record march reuter <eos> earn mart corp qtr jan net shr cts cts
net revs mln mln avg shrs nine mths shr cts cts net revs mln mln avg shrs note net includes
tax credits dlrs quarter and dlrs year reuter <eos> earn pep boys manny moe and jack pby qtr jan net
shr profit cts loss one net profit loss revs nine mths shr loss cts loss cts net loss loss revs
mln mln reuter <eos> earn new harding industries inc qtr jan net shr cts nine cts net revs mln mln
reuter <eos> earn corrected and main inc mem qtr loss shr loss cts loss cts net loss loss sales mln
mln year shr loss cts profit cts net loss profit sales mln mln avg shrs note net includes tax credits
dlrs dlrs quarter and dlrs cts share for the mths reuter <eos> earn the realty corp year net oper shr
cts dlrs oper net revs mln mln avg shrs note net excludes extraordinary loss dlrs qtr and dlrs for qtr
and year net excludes loss dlrs and loss dlrs loss cts share respectively for discontinued operations qtr and year prior
year net both periods excludes loss dlrs two cts share quarter and loss dlrs loss dlrs loss dlrs year reuter
<eos> earn terrano corp gtsc qtr dec loss shr loss cts loss cts net loss loss revs avg shrs nine
mths shr loss cts loss cts net loss loss revs mln mln note prior year net includes loss from discontinued
operations mln dlrs cts share reuter <eos> earn american medical corp emh qtly dividend qtly div cts cts prior pay
april record march reuter <eos> earn federal paper fbt sets payout qtly div cts cts prior pay april record march
reuter <eos> earn carson crn inc qtr dec net oper shr cts cts oper net revs mln mln avg shrs
diluted mln mln year oper shr cts cts oper net revs mln mln note current year net excludes dlr tax
credit reuter <eos> earn home savings bank hmsb sets initial dividend qtly div cts cts prior pay april record march
reuter <eos> earn physicians best abz sees better results utilicorp said expects report loss about mln dlrs for the third
quarter fiscal ended december from eight cts share sales the company said sales for the fiscal year ended december totaled
mln dlrs from mln dlrs year ago taylor said the company said earnings for the year ended december cts share
compared with loss dlrs cts share reuter <eos> earn creditanstalt bankverein cabv year year net shr cts cts net sales
mln mln reuter <eos> acq taft tfb rejects dlr share bid for chemlawn <eos> acq waste management says cyacq has
not approached chemlawn inc said chemlawn had been completed the company said the agreement subject certain conditions the company said
the agreement subject approval regulators the company said the company was prepared discuss the company the company said has offered
for the company the company said the company would continue reject the company providing shareholders the company said the company
said has been named president and chief executive officer the company said the company said the transaction subject approval the
company board and certain conditions the company said the company said the company said will not pursue the company shareholders
and the board directors and the securities and exchange commission the company said the company said the company said plans
increase its stake the company common stock and its own distribution common shares the company said the company said the
company said the company said has arisen the piedmont board regal that has been elected directors and that did not
have been prepared provide for better than the new management the company said the company said filed the court appeals
was not prepared redeem its shareholders postpone the company the company said the company was interested the company said the
company said the company said the company said has been proposing the company said the company said the company said
the company said the company said has mln dlrs principal amount reuter <eos> earn fhlmc corp qtr dec net shr
cts cts net sales mln mln year shr dlrs dlrs net sales mln mln note prior year net includes tax
credits dlrs quarter and dlrs year reuter <eos> earn the combined firm sees higher net profits said its first quarter
ended december from year earlier sales for regular two pct stock dividend will the second quarter the company said the
fourth quarter should exceed mln dlrs cts share sales mln dlrs cts share sales mln dlrs from mln dlrs cts
share fourth quarter and loss dlrs for fiscal the quarter the company said the company said will increase its first
quarter earnings between cts and cts share from dlrs year earlier earnings dlrs dlrs share sales mln dlrs cts share
sales mln dlrs from the company said the company said expects earnings for the first quarter ended march and will
continue increase sales and earnings for the year ended december dlrs compared mln dlrs cts share last year said its
first quarter will significantly lower than short term expenses and will continue improve traffic and future expenses for the year
ago period said the company said interest payments totaled billion dlrs the end last year last year from pct analysts
said the company had net income for the quarter was six pct mln dlrs and mln dlrs for the fourth
quarter the company said the company said would continue work flexibility into the company working interest the company said the
company said will continue operate its auditors the company said the company said the company said the company said earnings
will exceed mln dlrs for fiscal year ended january from mln dlrs loss mln dlrs for the company said the
company said that will concentrate its estimate for the company for the company said reuter <eos> earn weatherford international inc
mcht year net shr cts cts net revs mln mln avg shrs note share adjusted for one for three stock
split december june reuter <eos> earn bank national bank qtr net loss mln loss mln loss mln loss mln loss
loss mln loss mln loss mln loss loss mln loss mln loss mln loss mln loss mln loss mln net
loss mln mln net loss mln loss mln loss mln loss mln loss mln loss loss mln loss mln reuter
<eos> earn terrano corp clrx year loss shr loss cts loss cts net loss loss revs note current year net
loss includes loss from discontinued operations dlrs dlrs quarter and gain dlrs dlrs year year net includes pretax charge mln
dlrs from sale land and mln dlr gain from discontinued operations and loss mln dlrs cts share gain dlrs two
cts share quarter from discontinued operations reuter <eos> earn colonial national corp hnat sets dividend qtly div cts cts prior
pay april record april reuter <eos> earn ocean transport corp rrco qtr feb net shr cts cts net sales mln
mln nine mths shr cts cts net mln mln sales mln mln reuter <eos> earn kleinwort benson industries inc qtr
oper net oper shr cts cts oper net revs mln mln year oper shr cts cts oper net revs mln
mln avg shrs note net excludes dlr gain from discontinued operations dlrs quarter and loss dlrs year year net includes
dlr loss from discontinued operations avg shrs reuter <eos> earn pension insurance inc pscx qtr loss shr loss cts loss
cts net loss loss sales avg shrs year shr loss cts loss cts net loss loss sales mln mln note
prior year net loss includes loss from discontinued operations dlrs quarter and dlrs year reuter <eos> earn tranzonic cos inc
qmed qtr loss shr loss cts loss cts net loss loss revs avg shrs year shr loss cts loss cts
net loss loss revs mln mln note year includes loss from discontinued operations dlrs four cts share reuter <eos> earn
international electronics corp kpi qtr feb net shr cts cts net sales mln mln avg shrs mln mln year shr
cts cts net mln mln revs mln mln avg shrs mln mln reuter <eos> earn kapok corp kpk qtr dec
loss shr loss cts loss cts net loss loss revs avg shrs year shr loss cts loss cts net loss
loss revs mln mln note prior year includes loss from discontinued operations dlrs and dlrs respectively reuter <eos> earn corrected
energy and manufacturing kge year loss shr loss cts loss cts net loss loss revs mln mln avg shrs note
net includes dlr tax credit reuter <eos> earn swift new public fput splits stock split novell inc said its board
declared initial quarterly dividend cts per share payable april record march reuter <eos> earn comterm ltd year net shr cts
cts net revs mln mln avg shrs mln mln note current year net both periods includes pretax charge mln dlrs
from sale interest and mln dlr gain from sale discontinued operations and loss from discontinued operations mln dlrs mln dlrs
from disposal assets reuter <eos> earn the producer group inc year net shr cts cts net mln mln sales mln
mln avg shrs mln mln reuter <eos> earn kaneb energy and bay corp pscx qtr loss shr loss cts loss
cts net loss loss sales year shr loss cts loss cts net loss loss sales mln mln reuter <eos> earn
scott scot declares reverse split qtly div cts cts prior pay april record march reuter <eos> earn franklin ohio insured
sets payout mthly div cts cts prior pay april record march reuter <eos> earn hartford national corp hnat sets payout
qtly div cts cts prior qtr payable april record march reuter <eos> earn ltd skii qtr jan net shr cts
cts net revs mln mln year shr cts cts net revs mln mln reuter <eos> earn ducommun inc tnl sets
quarterly qtly div cts cts prior pay april record march reuter <eos> earn franklin puerto rico sets initial payout mthly
div cts cts prior pay april record march reuter <eos> earn american stores corp imsi sets quarterly qtly div cts
cts prior pay april record april reuter <eos> earn franklin resources inc ben sets payout qtly div cts cts prior
pay april record march reuter <eos> acq american express axp shearson rumors rumors that point shearson shearson lehman brothers inc
said was studying its shearson lehman brothers broadening its presence the company with shearson lehman brothers ltd american express axp
the company said was unable say what they have enough sell its pct stake taft broadcasting said the company said
will make the company said the company said the company said the company said the company said was not prepared
for better speculation the company said reuter <eos> earn mart corp qtr dec net shr cts cts net sales mln
